Item,Vietnamese,Japanese,English
name,Hồ Diên Công,Ho Dien Cong,Ho Dien Cong
job,Kỹ sư phần mềm,プログラマー,Software Engineer
learn-more,Xem thêm,詳細,Learn more
lk-tab-home,Home,ホーム,Home
lk-tab-about,Giới thiệu,概要,About
lk-tab-skill,Kỹ năng,スキル,Skills
lk-tab-image,Hình ảnh,画像,Image
lk-tab-project,Dự án,プロジェクト,Project
lk-tab-contact,Liên hệ,連携,Contact
lk-tab-feedback,Phản hồi,Feedback,Feedback
about-me,Tự giới thiệu,自己紹介,About me
full-name,Hồ Diên Công,Ho Dien Cong,Ho Dien Cong
lb-full-name,Họ tên,フルネーム,Full Name
lb-sex,Giới tính,性別,Sex
lb-years-birth,Sinh năm,生年,Birth-Years
tab-skill,Kỹ năng,スキル,Skills
tab-image,Hình ảnh,画像,Image
tab-project,Dự án,プロジェクト,Project
tab-contact,Liên hệ,連携,Get In Touch
lb-send-message,Gửi,送信,Get In Touch
